id,Organisation,Department
24,Lakshadweep District,Kavaratti Smart City Limitted(KSCL)
24,Lakshadweep District,Department of Education-UTL
24,Lakshadweep District,Directorate of Panchayat
24,Lakshadweep District,Office of the CHIEF ELECTORAL OFFICER
24,Lakshadweep District,Dept. of Port-Shipping and Aviation-UTL
24,Lakshadweep District,DIET
24,Lakshadweep District,Dept. of Science and Technology-UTL
24,Lakshadweep District,Department of Finance and Accounts
24,Lakshadweep District,Department of Environment and Forest - UTL
24,Lakshadweep District,Department of Industries
24,Lakshadweep District,Department of General Administration and Protocol-GAP
24,Lakshadweep District,Department of Police-UTL
24,Lakshadweep District,Department of Revenue
24,Lakshadweep District,Industrial Training Institute(ITI)
25,PMGSY Jammu and CE PW (R and B) Jammu,PMGSY Jammu Circle
25,PMGSY Jammu and CE PW (R and B) Jammu,PMGSY Reasi Circle
25,PMGSY Jammu and CE PW (R and B) Jammu,PMGSY Batote Circle
26,Aligarh Muslim University,Electricity Department
26,Aligarh Muslim University,CPO Schools
26,Aligarh Muslim University,Building Department
27,"Er in Chief, Bihar",NULL
28,"ALL India Institute of Medical Sciences, Bhopal",NULL
29,All India Institute of Medical Science-Nagpur,NULL
30,Department of Agriculture,Punjab Mandi Board
30,Department of Agriculture,Punjab State Seed Certification Authority
30,Department of Agriculture,Punjab State Warehousing Corporation
30,Department of Agriculture,Soil and Water Conservation
30,Department of Agriculture,Punjab State Seeds Corporation Limited
30,Department of Agriculture,Punjab Horticultural Postharvest Technology Centre
30,Department of Agriculture,Horticulture
31,All India Institute of Medical Science-New Delhi,Store IRCH - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Plastic Surgery - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store DO - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store CDER - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store Main Hospital - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store RPC - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store JPNATC - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Paediatric Surgery - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Research Section - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Set Facility - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Store NCI Jhajjar - AIIMS New Delhi
31,All India Institute of Medical Science-New Delhi,Surgical Disciplines - AIIMS New Delhi
32,All India Institute Of Medical Sciences - Guwahati,NULL
33,PMGSY Kashmir and CE PW (R and B) Kashmir,PMGSY Baramulla Circle
33,PMGSY Kashmir and CE PW (R and B) Kashmir,PMGSY Srinagar Circle
34,JSRRDA-CE,NULL
35,All India Institute of Medical Sciences-Bhubaneswar,Engineering Department - AIIMS Bhubaneswar
35,All India Institute of Medical Sciences-Bhubaneswar,Store and Procurement - AIIMS Bhubaneswar
36,"All India Institute of Speech and Hearing, Mysore",NULL
37,Bengal Chemicals and Pharmaceuticals Limited,BCPL MANIKTALA FACTORY KOLKATA
37,Bengal Chemicals and Pharmaceuticals Limited,BCPL MANIKTALA FACTORY  KOLKATA
38,Rural Works Department - Bihar,NULL
39,Bengal Gas Company Limited Kolkata,NULL
40,"Chief Engineer, PWD (R and B)",SE PWD (R and B) Project Circle
40,"Chief Engineer, PWD (R and B)","SE, PWD (R and B), Third Circle"
40,"Chief Engineer, PWD (R and B)","SE, PWD (R and B), First Circle"
40,"Chief Engineer, PWD (R and B)","SE, PWD (R and B), Fourth Circle"
40,"Chief Engineer, PWD (R and B)","SE, PWD (R and B), Second Circle"
40,"Chief Engineer, PWD (R and B)","SE, PWD (R and B), Fifth Circle"
40,"Chief Engineer, PWD (R and B)",SE PWD (R and B) NH Circle
41,All India Institute of Medical Sciences-Patna,eProcurement Cell - AIIMS Patna
42,Bharat Heavy Electricals Limited,"BHEL-Power Sector Eastern Regions, Kolkata"
42,Bharat Heavy Electricals Limited,"High Pressure Boiler Plant, Tiruchirappalli"
42,Bharat Heavy Electricals Limited,"Industrial Valves Plant, Goindwal"
42,Bharat Heavy Electricals Limited,"BHEL-Electrical Machine Repair Plant, Mumbai"
42,Bharat Heavy Electricals Limited,"BHEL-Electronics Division, Bangalore"
42,Bharat Heavy Electricals Limited,"BHEL-Corporate Office, New Delhi"
42,Bharat Heavy Electricals Limited,"Central Stamping Unit and Fabrication Plant, Jagdishpur"
42,Bharat Heavy Electricals Limited,"BHEL-Power Plant Piping Unit, Thirumayam"
42,Bharat Heavy Electricals Limited,"BHEL-Transformer Plant, Jhansi"
42,Bharat Heavy Electricals Limited,"Boiler Auxiliaries Plant, Ranipet"
42,Bharat Heavy Electricals Limited,"BHEL-Regional Operations Division (ROD), New Delhi"
42,Bharat Heavy Electricals Limited,"Heavy Power Equipment Plant, Hyderabad"
42,Bharat Heavy Electricals Limited,"BHEL-Power Sector Western Regions, Nagpur"
42,Bharat Heavy Electricals Limited,"BHEL-Power Sector Southern Regions, Chennai"
42,Bharat Heavy Electricals Limited,"BHEL-Project Engineering Management, Noida"
43,Guwahati Municipal Corporation,NULL
44,All India Institute of Medical Sciences-Raipur,Administrative Department - AIIMS Raipur
44,All India Institute of Medical Sciences-Raipur,Central Store - AIIMS Raipur
45,Health and Family Welfare Department,Assam Medical Services Corporation Limited
45,Health and Family Welfare Department,Directorate of Medical Education-HFWD
45,Health and Family Welfare Department,Atal Amrit Abhiyan Society
45,Health and Family Welfare Department,Directorate of Health Services Family Welfare
45,Health and Family Welfare Department,Directorate of Health Services
46,All India Institute of Medical Sciences-Rishikesh,Hospital - AIIMS Rishikesh
47,Department of Animal Husbandry,Punjab Livestock Development Board
47,Department of Animal Husbandry,Guru Angad Dev Veterinary and Animal Sciences University - Ludhiana
47,Department of Animal Husbandry,Department of Animal Husbandry
47,Department of Animal Husbandry,Punjab Gau Sewa Commission
48,Department of Civil Aviation,Department of Civil Aviation
49,Department of Cooperation,Milkfed (Verka)
49,Department of Cooperation,Markfed
49,Department of Cooperation,Sugarfed
49,Department of Cooperation,Registrar Cooperative Societies Punjab
49,Department of Cooperation,PUNCOFED
49,Department of Cooperation,The Punjab State Cooperative Bank Ltd
49,Department of Cooperation,The Punjab State Cooperative Agricultural Development Bank Ltd.
50,Directorate General Defence Estates,Principal Directorate Defence Estates- Central Command Lucknow
50,Directorate General Defence Estates,Principal Directorate Defence Estates- Southern Command Pune
50,Directorate General Defence Estates,Principal Directorate Defence Estates -Western Command Chandigarh
50,Directorate General Defence Estates,Principal Directorate Defence Estates- Eastern Command Kolkata
50,Directorate General Defence Estates,Principal Directorate Defence Estates -Northern Command Jammu
51,All India Institute of Speech and Hearing,NULL
52,Andaman Lakshadweep Harbour Works,Executive Engineer (K and GN) -Campbell Bay ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (CSWD)- Port Blair ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer Port Blair -ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer(Civil) - Rangat Bay ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Civil)- Kavarath ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Naval Project)- Port Blair ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (North and South)-Port Blair ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Marine)- Hut Bay ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Out Station) Port Blair- ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Dry Dock) Port Blair- ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer  (Marine)- Hut Bay  ALHW
52,Andaman Lakshadweep Harbour Works,Executive Engineer (Project)- Port Blair ALHW
53,PWD (B AND R),PRBDB
54,ASH,Director Sheep Husbandry Department Jammu/Kashmir
54,ASH,Director Animal Husbandry Department Jammu/Kashmir
54,ASH,ASH Jammu
54,ASH,Animal Husbandry Jammu
54,ASH,DIRECTOR FISHERIES
55,Custodian General Jammu and Kashmir,Custodian Evacuee Property Jammu
55,Custodian General Jammu and Kashmir,Custodian Evacuee Property Srinagar
56,Bharatiya Nabhikiya Vidyut Nigam Limited,NULL
57,Archaeological Survey of India,O/o SA-ASI-Dharwad Circle-Dharwad
57,Archaeological Survey of India,O/o SA - ASI - Jhansi circle
57,Archaeological Survey of India,O/o SA-ASI-Thrissur Circle-Thrissur
57,Archaeological Survey of India,O/o SA-ASI-Delhi Circle-Delhi
57,Archaeological Survey of India,O/o SA-ASI-Shimla Circle-Shimla
57,Archaeological Survey of India,O/o SA-ASI-Nagpur Circle-Nagpur
57,Archaeological Survey of India,O/o SA - ASI - Jabalpur circle
57,Archaeological Survey of India,O/o Dy. SAC-ASI-Guwahati
57,Archaeological Survey of India,O/o SA-ASI-Chennai Circle-Chennai
57,Archaeological Survey of India,O/o SA-ASI-Amravati Circle-Andhra Pradesh
57,Archaeological Survey of India,O/o SA - ASI - Puri
57,Archaeological Survey of India,O/o SA-ASI-Lucknow Circle-Lucknow
57,Archaeological Survey of India,O/o SA-ASI-Jaipur Circle-Jaipur
57,Archaeological Survey of India,O/o SA-ASI-Bhubaneswar Circle-Bhubaneswar
57,Archaeological Survey of India,O/o SA-ASI-Bangalore Circle-Bangalore
57,Archaeological Survey of India,O/o SA-ASI-Jodhpur Circle-Jodhpur
57,Archaeological Survey of India,O/o SA-ASI-Mumbai Circle-Mumbai
57,Archaeological Survey of India,O/o SA-ASI-Bhopal Circle-Bhopal
